"section_id","station_x","elevation_z"
"32","192.905000","34.597000"
"32","200.896000","34.033000"
"32","213.918000","36.309000"
"32","217.470000","37.061000"
"32","228.717000","37.603000"
"32","241.739000","37.629000"
"33","0.000000","37.588000"
"33","18.103000","37.599000"
"33","27.490000","36.422000"
"33","44.923000","36.221000"
"33","66.714000","36.146000"
"33","81.129000","35.645000"
"33","93.533000","34.543000"
"33","115.477000","31.845000"
"33","118.006000","31.812000"
"33","136.109000","33.065000"
"33","167.287000","32.138000"
"33","198.129000","30.960000"
"33","203.493000","28.681000"
"33","210.868000","27.303000"
"33","219.249000","26.000000"
"33","229.977000","26.025000"
"33","237.353000","27.203000"
"33","244.058000","29.532000"
"33","255.791000","32.789000"
"33","262.496000","34.944000"
"33","273.224000","37.048000"
"34","0.000000","36.994000"
"34","6.280000","36.860000"
"34","26.865000","30.971000"
"34","40.472000","25.136000"
"34","42.565000","24.946000"
"34","44.659000","25.109000"
"34","55.474000","26.954000"
"34","69.081000","30.998000"
"34","89.718000","31.251000"
"34","151.029000","32.000000"
"34","173.358000","32.000000"
"34","202.539000","32.059000"
"34","207.593000","32.219000"
"34","244.476000","36.827000"
"34","252.601000","36.887000"
"34","266.905000","35.177000"
"34","273.185000","35.015000"
"34","279.814000","36.372000"
"34","284.699000","36.829000"
"35","0.000000","37.263000"
"35","4.979000","37.073000"
"35","35.090000","31.962000"
"35","64.727000","30.960000"
"35","91.518000","27.052000"
"35","114.681000","26.695000"
"35","137.752000","31.562000"
"35","156.482000","32.013000"
"35","190.107000","36.808000"
"35","193.469000","36.808000"
"36","2.964000","37.087000"
"36","20.276000","36.707000"
"36","53.605000","33.334000"
"36","66.542000","32.006000"
"36","99.347000","31.509000"
"36","133.962000","31.000000"
"36","138.180000","29.011000"
"36","144.448000","28.020000"
"36","166.537000","28.040000"
"36","198.656000","29.000000"
"36","207.728000","29.963000"
"36","229.518000","33.533000"
"36","246.532000","36.532000"
"37","0.000000","36.878000"
"37","13.473000","35.198000"
"37","15.719000","35.566000"
"37","23.204000","35.635000"
"37","45.325000","34.367000"
"37","68.959000","31.000000"
"37","93.939000","29.985000"
"37","106.290000","28.424000"
"37","112.652000","27.092000"
"37","118.640000","27.069000"
"37","148.955000","29.939000"
"37","172.534000","30.651000"
"37","193.118000","31.363000"
"37","209.211000","31.983000"
"37","215.948000","33.017000"
"37","252.251000","33.040000"
"37","261.608000","31.960000"
"37","288.459000","37.201000"
"37","305.396000","37.393000"
"38","2.571000","37.580000"
"38","13.785000","37.386000"
"38","26.358000","36.539000"
"38","73.957000","34.531000"
"38","109.163000","33.216000"
"38","136.130000","31.199000"
"38","162.594000","31.002000"
"38","217.999000","30.000000"
"38","225.490000","26.017000"
"38","240.442000","24.585000"
"38","249.957000","29.378000"
"38","266.268000","33.733000"
"38","279.861000","37.026000"
"39","0.000000","36.785000"
"39","20.922000","36.507000"
"39","38.991000","35.540000"
"39","65.303000","34.142000"
"39","107.226000","34.411000"
"39","126.801000","35.267000"
"39","139.481000","35.497000"
"39","143.285000","36.530000"
"39","186.791000","33.453000"
"39","212.392000","31.708000"
"39","225.072000","31.455000"
"39","321.336000","31.000000"
"39","355.043000","29.962000"
"39","367.089000","28.033000"
"39","368.357000","27.115000"
"39","378.501000","27.046000"
"39","386.109000","28.033000"
"39","400.691000","28.975000"
"39","415.273000","29.159000"
"39","437.481000","29.996000"
"39","469.164000","31.317000"
"39","479.308000","31.042000"
"39","493.890000","37.173000"
"39","517.348000","37.292000"
"40","3.701000","36.174000"
"40","13.951000","36.102000"
"40","29.327000","33.013000"
"40","73.744000","31.092000"
"40","111.477000","30.377000"
"40","128.412000","30.006000"
"40","135.673000","27.689000"
"40","137.808000","27.000000"
"40","162.153000","27.021000"
"40","173.684000","28.023000"
"40","183.080000","30.090000"
"40","226.126000","30.831000"
"40","236.894000","31.071000"
"40","295.682000","34.506000"
"40","331.048000","36.621000"
"40","352.209000","36.720000"
